armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
0,1874.7455,-1796.6848,-415.96875,92.0,Garage,910-,76561199203563345,ct,ct,0,39,0,stomach,t,10583,350.89487,-1795.8057,-415.96875,36,Outside,Brollan,76561198138828475,t,m4a1,36,2
0,1213.2866,3.5818207,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,33,67,chest,t,11375,281.37418,20.156216,-415.3191,100,Control,Spinx,76561198063336407,t,m4a1,33,2
0,1214.9688,3.54664,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,33,34,chest,t,11381,290.92407,20.156704,-415.3191,67,Control,Spinx,76561198063336407,t,m4a1,33,2
0,1214.9688,3.54664,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,33,1,right_arm,t,11388,296.8164,20.153507,-415.3191,34,Control,Spinx,76561198063336407,t,m4a1,33,2
0,1214.9688,3.54664,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,42,0,stomach,t,11394,301.2681,20.156094,-415.3191,1,Control,Spinx,76561198063336407,t,m4a1,1,2
95,137.01334,-248.57422,-415.46875,100.0,Control,Jimpphat,76561198855375325,t,ct,5,9,91,right_arm,t,11450,597.97754,725.0982,-479.96875,100,Ramp,Mzinho,76561198838822582,ct,glock,9,2
0,598.8702,724.64966,-479.96875,91.0,Ramp,Mzinho,76561198838822582,ct,ct,0,115,0,head,t,11455,132.6731,-243.9165,-415.46875,100,Control,Jimpphat,76561198855375325,t,m4a1,100,2
94,114.32987,-169.63641,-415.96875,100.0,Control,xertioN,76561198193174134,t,ct,1,35,56,chest,t,11469,605.27576,721.60815,-479.96875,91,Ramp,Mzinho,76561198838822582,ct,deagle,35,2
0,635.0336,705.5284,-479.96875,56.0,Ramp,Mzinho,76561198838822582,ct,ct,0,33,67,chest,t,11510,114.451225,-170.37445,-415.96875,100,Control,xertioN,76561198193174134,t,m4a1,33,2
0,1213.9303,70.87225,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,33,67,chest,t,11643,89.45955,9.175354,-415.96875,100,Control,torzsi,76561198355739212,t,m4a1,33,2
0,1213.9303,70.87225,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,33,34,chest,t,11650,89.44425,2.5985303,-415.96875,67,Control,torzsi,76561198355739212,t,m4a1,33,2
0,1213.9303,70.87225,-415.96875,100.0,Admin,bLitz,76561198959824088,ct,ct,0,41,0,stomach,t,11662,90.035515,-7.0270996,-415.96875,34,Control,torzsi,76561198355739212,t,m4a1,34,2
96,65.20687,-13.495361,-415.96875,67.0,Control,xertioN,76561198193174134,t,ct,4,132,0,head,t,11717,1212.6481,90.88475,-415.96875,100,Admin,bLitz,76561198959824088,ct,deagle,100,2
0,885.2083,314.2176,-415.96875,56.0,Ramp,Mzinho,76561198838822582,ct,ct,0,29,38,chest,t,11741,65.97186,-20.673462,-415.96875,67,Control,xertioN,76561198193174134,t,hkp2000,29,2
93,68.70915,-28.415833,-415.96875,38.0,Control,xertioN,76561198193174134,t,ct,1,37,19,right_arm,t,11755,886.85175,310.42825,-415.96875,56,Ramp,Mzinho,76561198838822582,ct,deagle,37,2
0,886.38104,311.57874,-415.96875,19.0,Ramp,Mzinho,76561198838822582,ct,ct,0,29,9,chest,t,11757,68.457886,-27.857483,-415.96875,38,Control,xertioN,76561198193174134,t,hkp2000,29,2
0,880.69916,325.2306,-415.96875,19.0,Ramp,Mzinho,76561198838822582,ct,ct,0,118,0,head,t,11770,65.59781,-21.087585,-415.96875,9,Control,xertioN,76561198193174134,t,hkp2000,9,2
100,1487.9685,-1640.1516,-415.96875,100.0,Outside,910-,76561199203563345,ct,ct,0,1,99,stomach,t,14491,166.17273,-2095.4846,-415.96875,100,Outside,xertioN,76561198193174134,t,m4a1,1,3
92,234.04196,-1552.5922,-36.540527,100.0,Silo,Spinx,76561198063336407,t,ct,3,26,74,chest,t,14632,1714.3052,-1555.2812,-407.96875,100,Outside,910-,76561199203563345,ct,ak47,26,3
96,1723.1144,-1558.2266,-407.96875,74.0,Outside,910-,76561199203563345,ct,ct,4,22,78,chest,t,14645,234.06964,-1544.0442,-37.721924,100,Silo,Spinx,76561198063336407,t,m4a1,22,3
95,1717.7305,-1551.7134,-407.96875,74.0,Outside,910-,76561199203563345,ct,ct,1,4,74,chest,t,14675,234.13396,-1532.101,-39.48181,78,Silo,Spinx,76561198063336407,t,m4a1,4,3
91,1710.2031,-1559.0961,-407.96875,74.0,Outside,910-,76561199203563345,ct,ct,4,22,52,right_arm,t,14694,234.11678,-1532.9613,-39.34961,74,Silo,Spinx,76561198063336407,t,m4a1,22,3
87,1694.3407,-1570.0175,-407.96875,74.0,Outside,910-,76561199203563345,ct,ct,4,22,30,chest,t,14719,234.12018,-1532.1042,-39.4787,52,Silo,Spinx,76561198063336407,t,m4a1,22,3
79,1670.2831,-1573.5857,-407.96875,74.0,Outside,910-,76561199203563345,ct,ct,8,40,0,head,t,14745,233.91978,-1537.8726,-38.576355,30,Silo,Spinx,76561198063336407,t,m4a1,30,3
100,1456.6315,-1624.231,-415.96875,74.0,Outside,910-,76561199203563345,ct,ct,0,0,100,generic,t,14978,798.80145,-1605.1918,-415.96875,100,Mini,Senzu,76561198920720017,ct,hegrenade,0,3
96,1897.4382,-810.4485,-351.96875,74.0,Outside,910-,76561199203563345,ct,ct,4,22,78,chest,t,17069,826.66223,-1845.5164,-407.96875,100,Outside,Brollan,76561198138828475,t,m4a1,22,3
