thrower_steamid,thrower,grenade_type,tick,X,Y,Z,entity_id,round_num
76561198061763596,n1ssim,CSmokeGrenadeProjectile,5648,1442.25,966.8125,151.03125,586,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5648,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5648,2299.875,2172.7812,134.03125,597,1
76561198061763596,n1ssim,CSmokeGrenadeProjectile,5656,1442.25,966.8125,151.03125,586,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5656,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5656,2299.875,2172.7812,134.03125,597,1
76561198061763596,n1ssim,CSmokeGrenadeProjectile,5664,1442.25,966.8125,151.03125,586,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5664,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5664,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5672,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5672,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5680,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5680,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5688,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5688,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5696,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5696,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5704,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5704,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5712,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5712,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5720,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5720,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5728,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5728,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5736,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5736,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5744,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5744,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5752,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5752,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5760,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5760,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5768,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5768,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5776,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5776,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5784,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5784,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5792,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5792,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5800,2366.4062,853.25,157.71875,590,1
76561197989744167,apEX,CSmokeGrenadeProjectile,5800,2299.875,2172.7812,134.03125,597,1
76561198100494962,saadzin,CSmokeGrenadeProjectile,5808,2366.4062,853.25,157.71875,590,1
