armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_side,ct_side,dmg_armor,dmg_health,health,hitgroup,t_side,tick,victim_X,victim_Y,victim_Z,victim_health,victim_place,victim_name,victim_steamid,victim_side,weapon,dmg_health_real,round_num
88,1642.5503,-9.662231,132.03125,100,BombsiteA,mezii,76561197973140692,ct,ct,4,13,63,chest,t,13597,1355.047,302.30557,128.03125,76,TopofMid,saadzin,76561198100494962,t,mp9,13,2
84,1619.0836,-33.67627,132.03125,100,BombsiteA,mezii,76561197973140692,ct,ct,4,13,50,chest,t,13606,1359.8363,292.23288,128.03125,63,TopofMid,saadzin,76561198100494962,t,mp9,13,2
80,1612.8711,-40.658936,132.03125,100,BombsiteA,mezii,76561197973140692,ct,ct,4,13,37,chest,t,13611,1357.3679,287.89587,128.03125,50,TopofMid,saadzin,76561198100494962,t,mp9,13,2
76,1612.1282,-42.277893,132.03125,100,BombsiteA,mezii,76561197973140692,ct,ct,4,13,24,chest,t,13615,1355.1075,284.89542,128.03125,37,TopofMid,saadzin,76561198100494962,t,mp9,13,2
99,1351.5289,280.9177,128.03125,24,TopofMid,saadzin,76561198100494962,t,ct,1,24,76,chest,t,13621,1608.7822,-45.41809,132.03125,100,BombsiteA,mezii,76561197973140692,ct,tec9,24,2
72,1615.4374,-40.387085,132.03125,76,BombsiteA,mezii,76561197973140692,ct,ct,4,13,11,chest,t,13629,1347.2627,276.9362,128.03125,24,TopofMid,saadzin,76561198100494962,t,mp9,13,2
67,1620.8628,-36.219177,132.03125,76,BombsiteA,mezii,76561197973140692,ct,ct,5,17,0,stomach,t,13633,1348.1656,277.70853,128.03125,11,TopofMid,saadzin,76561198100494962,t,mp9,11,2
98,213.26672,1387.6589,107.45832,100,Banana,saadzin,76561198100494962,t,ct,2,3,97,generic,t,15892,770.6248,2118.5535,136.03131,100,Banana,flameZ,76561197978835160,ct,hegrenade,3,3
96,179.97064,1051.693,87.34103,100,Banana,dumau,76561198194325317,t,ct,2,3,94,generic,t,15965,769.75116,1941.0619,184.42188,97,Banana,flameZ,76561197978835160,ct,hegrenade,3,3
0,748.0323,1924.2566,200.0,94,Banana,flameZ,76561197978835160,ct,ct,0,1,99,generic,t,15975,333.84396,1636.1418,130.49136,100,Banana,saadzin,76561198100494962,t,inferno,1,3
